ID,Lat,Lon,SST,SSTd,hurMaxWind,hurMinPressure,hurRadius,Next Lat,Next Lon,Next hurMaxWind,Next hurMinPressure,Next hurRadius
AL022021 - 0613 18h,31.9,-78.1,287.47,-4.2,20,1008,60,32.5,-77.1,20,1007,40
AL022021 - 0614 00h,32.5,-77.1,290.37,-4.6,20,1007,40,33.2,-75.9,25,1006,40
AL022021 - 0614 06h,33.2,-75.9,292.58,-7.1,25,1006,40,34.0,-74.5,30,1005,35
AL022021 - 0614 12h,34.0,-74.5,271.91,-1.3,30,1005,35,34.9,-72.8,35,1003,35
AL022021 - 0614 18h,34.9,-72.8,288.69,-10.3,35,1003,35,36.0,-70.8,40,1000,35
AL022021 - 0615 00h,36.0,-70.8,281.68,8.7,40,1000,35,37.6,-67.8,50,996,30
AL022021 - 0615 06h,37.6,-67.8,287.59,-3.1,50,996,30,39.4,-64.0,55,992,30
AL022021 - 0615 12h,39.4,-64.0,294.04,-1.0,55,992,30,40.9,-60.8,45,997,40
AL022021 - 0615 18h,40.9,-60.8,296.18,0.0,45,997,40,42.5,-57.9,35,1002,60
AL032021 - 0617 18h,22.5,-92.2,300.39,-1.1,25,1008,150,23.5,-91.8,30,1007,140
AL032021 - 0618 00h,23.5,-91.8,299.34,-2.1,30,1007,140,24.6,-91.4,35,1007,130
AL032021 - 0618 06h,24.6,-91.4,298.94,-2.0,35,1007,130,25.9,-91.2,35,1007,120
AL032021 - 0618 12h,25.9,-91.2,299.34,-1.7,35,1007,120,27.2,-91.1,40,1006,120
AL032021 - 0618 18h,27.2,-91.1,291.6,-9.7,40,1006,120,28.4,-91.2,40,1005,120
AL032021 - 0619 00h,28.4,-91.2,297.38,-4.0,40,1005,120,29.2,-91.0,40,1003,120
AL032021 - 0619 04h,29.2,-91.0,282.54,7.1,40,1003,120,29.5,-90.8,40,1003,120
AL042021 - 0627 18h,29.8,-72.8,293.14,-4.1,30,1013,40,30.1,-74.5,30,1013,40
AL042021 - 0628 00h,30.1,-74.5,293.69,-6.1,30,1013,40,30.7,-76.1,35,1011,40
AL042021 - 0628 06h,30.7,-76.1,299.79,-0.2,35,1011,40,31.5,-77.6,35,1011,30
AL042021 - 0628 12h,31.5,-77.6,302.58,0.8,35,1011,30,32.0,-79.5,40,1009,30
AL042021 - 0628 18h,32.0,-79.5,296.94,-3.2,40,1009,30,32.3,-80.5,35,1010,30
AL042021 - 0628 23h,32.3,-80.5,296.94,-3.2,35,1010,30,32.4,-80.7,30,1011,30
AL052021 - 0630 18h,9.4,-42.8,295.4,-5.0,30,1008,60,9.3,-45.3,35,1007,60
AL052021 - 0701 00h,9.3,-45.3,293.82,-6.9,35,1007,60,9.4,-47.7,35,1006,50
AL052021 - 0701 06h,9.4,-47.7,287.46,-5.3,35,1006,50,9.9,-50.2,40,1005,50
